Item	Qty	Unit	Designators
Connector, Crimp ferrule, 0.25 mm², GY	2		
Connector, DIN, female, 8 pins	1		X3
Connector, JST-HX, female, 2 pins	1		X2
Connector, JST-HX, female, 4 pins	1		X1
Cable, 4 wires	0	m	W1
Cable, 2 wires	0	m	W2
Cable, 1 wires	0	m	W3, W4
