Item	Qty	Unit	Designators
Connector, DIN, female, 8 pins	1		X3
Connector, JST-HX, female, 4 pins	2		X1, X2
Wire, BK	0	m	W1, W2
Wire, BU	0	m	W1, W2
Wire, GN	0	m	W1, W2
Wire, RD	0	m	W1, W2
